N,run_index,kernel_time_ms,effective_bandwidth_GBps
100000000,1,2.1076,569.38
100000000,2,1.6399,731.76
100000000,3,1.6683,719.30
100000000,4,1.6621,721.99
100000000,5,1.6535,725.73
100000000,6,1.6527,726.08
100000000,7,1.6779,715.17
100000000,8,1.6675,719.63
100000000,9,1.6528,726.04
100000000,10,1.6636,721.32
100000000,11,1.6728,717.35
100000000,12,1.6652,720.63
100000000,13,1.6564,724.46
100000000,14,1.6532,725.89
100000000,15,1.6535,725.75
100000000,16,1.6700,718.56
100000000,17,1.6439,729.96
100000000,18,1.6709,718.16
100000000,19,1.6580,723.74
100000000,20,1.6439,729.97
100000000,21,1.6692,718.91
100000000,22,1.6537,725.66
100000000,23,1.6605,722.67
100000000,24,1.6408,731.34
100000000,25,1.6628,721.68
100000000,26,1.6566,724.36
100000000,27,1.6673,719.73
100000000,28,1.6568,724.27
100000000,29,1.6662,720.18
100000000,30,1.6578,723.87
100000000,31,1.6613,722.31
100000000,32,1.6565,724.40
100000000,33,1.6550,725.09
100000000,34,1.6591,723.28
100000000,35,1.6443,729.78
100000000,36,1.6639,721.20
100000000,37,1.6631,721.53
100000000,38,1.6553,724.93
100000000,39,1.6599,722.93
100000000,40,1.6757,716.11
100000000,41,1.6680,719.41
100000000,42,1.6672,719.76
100000000,43,1.6572,724.13
100000000,44,1.6620,722.00
100000000,45,1.6629,721.64
100000000,46,1.6562,724.54
100000000,47,1.6613,722.31
100000000,48,1.6485,727.93
100000000,49,1.6511,726.79
100000000,50,1.6438,730.00
200000000,1,3.5490,676.25
200000000,2,3.5323,679.44
200000000,3,3.5103,683.71
200000000,4,3.5235,681.15
200000000,5,3.5381,678.33
200000000,6,3.5510,675.86
200000000,7,3.9718,604.25
200000000,8,3.5424,677.51
200000000,9,3.5401,677.95
200000000,10,3.5310,679.69
200000000,11,3.5349,678.95
200000000,12,3.5424,677.51
200000000,13,3.2644,735.19
200000000,14,3.5343,679.06
200000000,15,3.5383,678.29
200000000,16,3.5312,679.66
200000000,17,3.6894,650.51
200000000,18,3.6609,655.58
200000000,19,3.8960,616.01
200000000,20,3.7284,643.70
200000000,21,3.5314,679.62
200000000,22,3.5474,676.55
200000000,23,3.5508,675.91
200000000,24,3.2559,737.12
200000000,25,3.5327,679.37
200000000,26,3.5244,680.96
