N,run_index,kernel_time_ms,effective_bandwidth_GBps
100000000,1,2.0123,596.33
100000000,2,1.6641,721.10
100000000,3,1.6586,723.49
100000000,4,1.6561,724.58
100000000,5,1.6629,721.63
100000000,6,1.6584,723.59
100000000,7,1.6525,726.17
100000000,8,1.6548,725.17
100000000,9,1.6545,725.30
100000000,10,1.6602,722.81
100000000,11,1.6650,720.71
100000000,12,1.6569,724.25
100000000,13,1.6708,718.21
100000000,14,1.6523,726.28
100000000,15,1.6903,709.92
100000000,16,1.6554,724.89
100000000,17,1.6532,725.84
100000000,18,1.6571,724.16
100000000,19,1.6585,723.55
100000000,20,1.6618,722.10
100000000,21,1.6534,725.76
100000000,22,1.6650,720.74
100000000,23,1.6633,721.45
100000000,24,1.6603,722.77
100000000,25,1.6535,725.73
100000000,26,1.6626,721.78
100000000,27,1.6601,722.85
100000000,28,1.6566,724.37
100000000,29,1.6537,725.63
100000000,30,1.6570,724.20
100000000,31,1.6538,725.59
100000000,32,1.6568,724.27
100000000,33,1.6543,725.38
100000000,34,1.6577,723.90
100000000,35,1.6518,726.48
100000000,36,1.6678,719.52
100000000,37,1.6564,724.48
100000000,38,1.6552,724.99
100000000,39,1.6566,724.39
100000000,40,1.6570,724.20
100000000,41,1.6521,726.34
100000000,42,1.6493,727.59
100000000,43,1.6537,725.63
100000000,44,1.6503,727.15
100000000,45,1.6625,721.82
100000000,46,1.6495,727.49
100000000,47,1.6448,729.59
100000000,48,1.6318,735.40
100000000,49,1.6702,718.46
100000000,50,1.6578,723.84
200000000,1,3.5328,679.34
200000000,2,3.5416,677.65
200000000,3,3.5505,675.96
200000000,4,3.5596,674.22
200000000,5,3.5399,677.98
200000000,6,3.5739,671.54
200000000,7,3.5296,679.96
200000000,8,3.8634,621.22
200000000,9,3.6136,664.16
200000000,10,3.7404,641.63
200000000,11,3.5242,681.01
200000000,12,3.5369,678.55
200000000,13,3.9184,612.50
200000000,14,3.8141,629.24
200000000,15,3.7448,640.88
200000000,16,3.8960,616.02
200000000,17,3.7270,643.95
200000000,18,3.5532,675.46
200000000,19,3.5911,668.32
200000000,20,3.5408,677.81
200000000,21,3.5291,680.07
200000000,22,3.2435,739.94
200000000,23,3.5116,683.46
200000000,24,3.5071,684.33
200000000,25,3.5214,681.55
200000000,26,3.5139,683.00
200000000,27,3.5081,684.13
200000000,28,3.5083,684.09
200000000,29,3.5156,682.68
200000000,30,3.5015,685.41
200000000,31,3.5164,682.52
200000000,32,3.5048,684.77
200000000,33,3.7310,643.26
200000000,34,3.5347,678.98
200000000,35,3.5294,680.00
200000000,36,3.5154,682.71
200000000,37,3.5294,680.00
200000000,38,3.5229,681.25
200000000,39,3.6099,664.83
200000000,40,3.5041,684.91
200000000,41,3.5322,679.47
200000000,42,3.8612,621.57
200000000,43,3.7322,643.05
200000000,44,3.6424,658.91
200000000,45,3.6599,655.75
200000000,46,3.5318,679.53
200000000,47,3.5395,678.07
200000000,48,3.5298,679.93
200000000,49,3.4971,686.28
200000000,50,3.5059,684.57
300000000,1,5.1366,700.86
300000000,2,5.1517,698.80
300000000,3,5.1629,697.28
300000000,4,5.2102,690.95
300000000,5,5.1846,694.37
300000000,6,5.1576,697.99
300000000,7,5.1888,693.80
300000000,8,5.1607,697.58
300000000,9,5.4482,660.77
300000000,10,5.1591,697.80
300000000,11,5.4340,662.49
300000000,12,5.1561,698.21
300000000,13,5.1503,698.98
300000000,14,5.1483,699.26
300000000,15,5.1307,701.66
300000000,16,5.1613,697.49
300000000,17,5.1329,701.35
300000000,18,5.1650,697.00
300000000,19,5.1605,697.61
300000000,20,5.4425,661.46
300000000,21,5.1548,698.38
300000000,22,5.1434,699.92
300000000,23,5.5308,650.90
300000000,24,5.1436,699.90
300000000,25,5.1466,699.50
300000000,26,5.1766,695.44
300000000,27,5.1954,692.92
300000000,28,5.1357,700.97
300000000,29,5.1888,693.81
300000000,30,5.1623,697.36
300000000,31,5.4285,663.16
300000000,32,5.1533,698.58
300000000,33,5.1162,703.65
300000000,34,5.8195,618.61
300000000,35,5.1497,699.07
